Volatge (V),Frequency,Current
3.227818182,8001260,2165
3.227818182,8001404,2165
3.227818182,8001972,2164
3.227818182,8002292,2164
3.227818182,8003132,2163
3.222930596,8002700,2163
3.222930596,8002460,2162
3.222930596,8003012,2161
3.219672206,8002900,2160
3.218043011,8002772,2160
3.218043011,8003908,2159
3.218043011,8003540,2157
3.213155425,8003684,2157
3.21478462,8004452,2155
3.213155425,8003828,2154
3.213155425,8004572,2154
3.213155425,8005124,2153
3.210711633,8005484,2152
3.20826784,8005724,2151
3.213155425,8006348,2151
3.20826784,8005844,2150
3.20826784,8007284,2150
3.205824047,8006516,2149
3.205824047,8006612,2148
3.205824047,8006948,2147
3.203380254,8007356,2146
3.203380254,8006804,2146
3.201751059,8007156,2144
3.198492669,8007428,2143
3.198492669,8007684,2142
3.198492669,8008580,2142
3.198492669,8008148,2141
3.196863474,8008804,2140
3.193605083,8008964,2139
3.193605083,8009060,2139
3.193605083,8009180,2138
3.191161291,8009804,2137
3.191161291,8010716,2135
3.188717498,8010260,2135
3.188717498,8010916,2135
3.188717498,8011940,2134
3.188717498,8010980,2133
3.183829912,8011340,2132
3.183829912,8011532,2131
3.183829912,8011748,2131
3.183829912,8012852,2130
3.180571521,8012804,2129
3.178942326,8012852,2128
3.178942326,8012500,2127
3.178942326,8013284,2126
3.174054741,8013308,2126
3.176498534,8014172,2125
3.174054741,8013956,2124
3.171610948,8014508,2123
3.172425546,8015108,2122
3.169167155,8015252,2121
3.169167155,8015612,2121
3.169167155,8015852,2120
3.166723363,8015996,2120
3.169167155,8015756,2118
3.16427957,8015508,2117
3.16427957,8016404,2116
3.16427957,8016740,2116
3.159391984,8016812,2114
3.159391984,8017012,2113
3.159391984,8017100,2112
3.159391984,8018228,2112
3.154504399,8017748,2111
3.156948192,8018348,2110
3.154504399,8018436,2109
3.154504399,8018612,2108
3.154504399,8018612,2107
3.149616813,8019476,2106
3.149616813,8019404,2105
3.149616813,8019956,2104
3.149616813,8020100,2103
3.146358423,8020004,2102
3.149616813,8020052,2101
3.143100033,8020708,2100
3.144729228,8020748,2099
3.139841642,8021108,2098
