Volatge (V),Frequency (Hz),current (uA)
3.115403715,1008332,366.11
3.110516129,1008308,365.79
3.110516129,1008356,365.48
3.108072337,1008356,365.19
3.105628544,1008428,364.92
3.105628544,1008404,364.51
3.100740958,1008380,364.23
3.100740958,1008356,363.92
3.098297165,1008380,363.46
3.095853372,1008380,363.15
3.095853372,1008428,362.88
3.09340958,1008356,362.58
3.090965787,1008452,362.26
3.090965787,1008404,362.01
3.086078201,1008428,361.63
3.086078201,1008380,361.34
3.081190616,1008404,361.01
3.078746823,1008404,360.58
3.081190616,1008332,360.36
3.07630303,1008404,360.12
3.071415445,1008476,359.74
3.071415445,1008428,359.37
3.071415445,1008452,359.14
3.066527859,1008380,358.95
3.066527859,1008452,358.67
3.066527859,1008500,358.37
3.061640274,1008476,358.12
3.061640274,1008452,357.91
3.061640274,1008524,357.6
3.059196481,1008524,357.26
3.056752688,1008452,356.93
3.051865103,1008476,356.72
3.054308896,1008452,356.62
3.051865103,1008452,356.5
3.04942131,1008428,356.21
3.046977517,1008404,355.94
3.046977517,1008452,355.84
3.044533725,1008452,355.47
3.042089932,1008404,354.9
3.039646139,1008500,354.53
3.039646139,1008452,354.61
3.037202346,1008524,354.47
3.034758554,1008524,354.13
3.032314761,1008500,353.85
3.032314761,1008500,353.56
3.029870968,1008476,353.27
3.027427175,1008572,353.01
3.027427175,1008524,352.66
3.022539589,1008572,352.39
3.022539589,1008524,352.24
3.020095797,1008596,351.86
3.017652004,1008620,351.51
3.017652004,1008548,351.25
3.012764418,1008572,350.99
3.012764418,1008596,350.67
3.010320626,1008572,350.38
3.007876833,1008620,350.13
3.007876833,1008620,349.83
3.00543304,1008620,349.55
3.002989247,1008692,349.25
3.000545455,1008716,348.97
2.998101662,1008620,348.74
2.998101662,1008692,348.44
2.995657869,1008644,348.15
2.993214076,1008692,347.84
2.993214076,1008692,347.64
2.988326491,1008668,347.41
2.988326491,1008692,347.19
2.983438905,1008620,346.89
2.983438905,1008692,346.54
2.980995113,1008692,346.26
2.980995113,1008692,345.93
2.97855132,1008716,345.65
2.976107527,1008668,345.38
2.973663734,1008692,345
2.973663734,1008596,344.73
2.971219942,1008620,344.47
2.968776149,1008716,344.19
2.963498045,1008644,343.91
2.958219941,1008644,343.63
2.95553177,1008644,343.43
2.954065494,1008620,343.05
2.952843597,1008668,342.8
2.950155425,1008668,342.59
2.950155426,1008716,342.39
2.948200391,1008644,342.2
2.947467253,1008692,341.95
2.946734116,1008740,341.54
2.943557185,1008668,341.39
2.942090909,1008716,341.22
2.940869013,1008764,340.91
2.937447703,1008836,340.61
2.937447703,1008812,340.4
2.934759531,1008836,340.17
2.932804497,1008836,339.93
2.930849463,1008884,339.69
2.92816129,1008836,339.33
2.928894428,1008812,339.28
2.925473118,1008764,339.15
2.924006843,1008740,338.87
2.922784946,1008812,338.55
2.922051808,1008860,338.3
2.91814174,1008884,338.01
2.917408602,1008860,337.72
2.912765396,1008764,337.35
2.912765396,1008836,337.02
2.910077224,1008860,336.81
2.907389052,1008860,336.44
2.906167156,1008884,336.11
2.903478983,1008884,335.86
2.902745846,1008836,335.55
2.898835777,1008908,335.29
2.897369502,1008932,335.02
2.893459433,1009028,334.65
2.893459433,1008956,334.37
2.890282502,1008980,334.14
2.888083089,1008980,333.73
2.884906158,1009004,333.41
2.884173021,1009004,333.17
2.882706745,1008956,332.86
2.878796677,1009076,332.35
2.878063539,1009052,331.98
2.87415347,1009028,331.73
2.872198436,1009100,331.36
2.868777126,1009076,331.03
2.866088954,1009076,330.62
2.864867058,1009004,330.3
2.862178886,1009052,329.98
2.859490714,1009076,329.58
2.858757576,1009100,329.3
2.856802542,1009124,329.1
2.85411437,1009076,328.84
2.851426198,1009100,328.46
2.849471163,1009052,328.15
2.847516129,1009052,327.86
2.845561095,1009100,327.61
2.842872923,1009076,327.32
2.840917889,1009196,327.01
2.839451613,1009124,326.64
2.836763441,1009076,326.41
2.834808407,1009124,326
2.832853372,1009100,325.45
2.8301652,1009028,325.25
2.8301652,1009220,325.06
2.828698925,1009124,324.77
2.824788856,1009076,324.49
2.822833822,1009124,324.22
2.822833822,1009124,323.91
2.819412512,1009148,323.68
2.816235582,1009124,323.4
2.814769306,1009148,322.99
2.81354741,1009172,322.77
2.812814272,1009172,322.55
2.808904204,1009220,322.26
2.806216031,1009268,321.96
2.806216031,1009220,321.73
2.80352786,1009244,321.46
2.80010655,1009196,321.05
2.80010655,1009172,320.78
2.798151516,1009196,320.53
2.795463343,1009316,320.28
2.791553275,1009292,320.02
2.790086999,1009292,319.68
2.790086999,1009340,319.44
2.786176931,1009292,319.22
2.784710655,1009316,318.87
2.782266862,1009292,318.64
2.780800587,1009292,318.43
2.778845553,1009316,318.13
2.775424242,1009268,317.79
2.775424242,1009268,317.42
2.77298045,1009292,317.21
2.771514174,1009340,316.97
2.768826002,1009388,316.65
2.766870968,1009340,316.34
2.765404692,1009316,316.09
2.764182796,1009316,315.85
2.761494624,1009316,315.53
2.757584555,1009292,315.19
2.756851417,1009316,315.07
2.755385142,1009364,314.86
2.752208211,1009364,314.58
2.749520039,1009412,314.27
2.749520039,1009388,314
2.747565005,1009412,313.73
2.744143695,1009484,313.43
2.742188661,1009436,313.08
2.740722385,1009388,312.74
2.736812317,1009436,312.48
2.734857283,1009412,312.15
2.732902248,1009436,311.86
2.731435973,1009412,311.64
2.728747801,1009388,311.45
2.727525904,1009412,311.17
2.724837733,1009484,310.93
2.722882698,1009412,310.66
2.721416422,1009460,310.29
2.719461388,1009436,310.02
2.717506354,1009508,309.81
2.716773216,1009556,309.54
2.713596286,1009532,309.27
2.71213001,1009556,309.03
2.711396872,1009556,308.74
2.708953079,1009556,308.49
2.708219942,1009556,308.44
2.707486804,1009556,308.23
2.704798632,1009580,307.96
2.703576735,1009532,307.66
2.701377322,1009604,307.39
2.700155425,1009580,307.1
2.698200391,1009604,306.87
2.696734115,1009628,306.5
2.695512219,1009652,306.35
2.693557185,1009604,306.37
2.692824047,1009628,306.2
2.690869013,1009652,306.03
2.688913978,1009628,305.71
2.687447703,1009652,305.5
2.687447703,1009676,305.37
2.683537634,1009676,305.18
2.682071359,1009724,304.91
2.680849463,1009652,304.78
2.680116325,1009676,304.61
2.67816129,1009652,304.26
2.674251222,1009700,304
2.673518084,1009700,303.8
2.672784946,1009724,303.54
2.672051809,1009676,303.31
2.668874878,1009748,303.12
2.66814174,1009748,302.86
2.666186706,1009724,302.69
2.666186706,1009724,302.49
2.662765396,1009724,302.17
2.659588465,1009796,301.87
2.65812219,1009796,301.63
2.656167156,1009772,301.33
2.653478984,1009724,300.94
2.65152395,1009772,300.63
2.648835777,1009772,300.34
2.646880743,1009772,300.09
2.644925709,1009772,299.78
2.643459433,1009796,299.54
2.643459433,1009844,299.47
2.639549365,1009820,299.19
2.638083089,1009724,298.91
2.638083089,1009820,298.79
2.636128055,1009796,298.5
2.633439883,1009820,298.21
2.629529814,1009796,298.02
2.628796676,1009772,297.76
2.628796676,1009820,297.51
2.626108505,1009844,297.28
2.623420332,1009820,296.98
2.62097654,1009868,296.68
2.619510264,1009844,296.52
2.61755523,1009892,296.23
2.615600196,1009892,295.83
2.61413392,1009916,295.61
2.610223851,1009892,295.32
2.609490714,1009964,295.04
2.608757576,1009844,294.83
2.605580645,1009916,294.55
2.604847507,1009820,294.32
2.604847507,1009964,294.14
2.601426198,1009940,293.79
2.599471163,1010012,293.42
2.595561095,1009988,293.29
2.596294233,1010012,293.2
2.594827957,1010036,293.03
2.593361682,1010060,292.84
2.583049853,1010036,292.58
2.580117302,1010060,292.31
2.580117302,1010156,292.12
2.577184751,1010084,291.84
2.574252199,1010084,291.52
2.574252199,1010036,291.23
2.571319648,1010084,290.97
2.569853373,1010036,290.69
2.566920821,1010036,290.37
2.565454545,1010060,290.12
2.56398827,1010108,289.94
2.561055719,1010132,289.67
2.559589443,1010108,289.38
2.558123168,1010060,289.09
2.555190616,1010108,288.89
2.55372434,1010108,288.62
2.550791789,1010180,288.23
2.549325514,1010204,288.05
2.547859238,1010180,287.82
2.543460411,1010252,287.42
2.543460411,1010252,287.15
2.541994135,1010204,287
2.539061584,1010276,286.71
2.536129032,1010204,286.41
2.534662757,1010276,286.16
2.533196481,1010348,285.9
2.531730206,1010324,285.71
2.528797654,1010348,285.51
2.528797654,1010300,285.23
2.524398827,1010396,284.89
2.524398827,1010276,284.7
2.521466276,1010300,284.41
2.52,1010252,284.06
2.517067449,1010324,283.79
2.514134898,1010300,283.49
2.512668622,1010372,283.16
2.50973607,1010348,282.91
2.50973607,1010348,282.37
2.508269795,1010372,281.79
2.506803519,1010324,281.9
2.503870968,1010396,281.87
2.503870968,1010372,281.72
2.500938416,1010444,281.51
2.500938416,1010396,281.33
2.498005865,1010420,281.18
2.498005865,1010420,280.79
2.49653959,1010420,280.43
2.495073314,1010420,280.24
2.492140762,1010444,280.05
2.490674487,1010420,279.94
2.489208211,1010444,279.85
2.487741936,1010420,279.71
2.48627566,1010420,279.55
2.484809385,1010492,279.34
2.481876833,1010444,279.14
2.480410557,1010420,278.85
2.480410557,1010444,278.7
2.477478006,1010444,278.59
2.476011731,1010468,278.38
2.474545455,1010516,278.19
2.474545455,1010516,277.96
2.471612903,1010492,277.73
2.471612903,1010540,277.56
2.468680352,1010516,277.4
2.467214077,1010516,277.14
2.464281525,1010492,276.93
2.462815249,1010540,276.69
2.462815249,1010636,276.54
2.462815249,1010588,276.39
2.459882698,1010636,276.09
2.458416423,1010612,275.68
2.456950147,1010540,275.56
2.454017595,1010660,275.64
2.454017595,1010636,275.56
