Voltage (V),Frequency (Hz),Current (uA)
3.13739785,12161612,3103
3.134954057,12161044,3101
3.134954057,12160920,3098
3.132510264,12160612,3097
3.132510264,12160400,3094
3.130066471,12160356,3092
3.127622679,12160140,3090
3.127622679,12160096,3088
3.125178886,12160024,3086
3.122735093,12159988,3083
3.122735093,12159944,3081
3.1202913,12159744,3078
3.117847508,12159632,3077
3.115403715,12159488,3074
3.115403715,12158992,3072
3.112959922,12158704,3070
3.110516129,12158496,3067
3.108072337,12157844,3066
3.105628544,12157508,3062
3.105628544,12157284,3060
3.103184751,12156896,3058
3.100740958,12156668,3056
3.103184751,12156456,3054
3.098297165,12156384,3050
3.095853372,12156232,3049
3.09340958,12156088,3046
3.09340958,12156040,3043
3.090965787,12155868,3041
3.090965787,12155796,3039
3.088521994,12155692,3037
3.086078201,12155400,3034
3.083634409,12155200,3033
3.081190616,12155048,3030
3.07630303,12154500,3027
3.07630303,12154192,3025
3.073859238,12154048,3023
3.073859238,12153528,3019
3.073859238,12153248,3018
3.068971652,12153076,3014
3.068971652,12152860,3011
3.064084067,12152620,3010
3.064084067,12152392,3007
3.061640274,12152340,3006
3.059196481,12152080,3002
3.056752688,12151912,3001
3.054308896,12151824,2998
3.054308896,12151592,2995
3.054308896,12151496,2993
3.051865103,12151416,2991
3.04942131,12151156,2989
3.046977517,12151004,2986
3.046977517,12150976,2984
3.042089932,12150588,2982
3.042089932,12150436,2980
3.037202346,12150376,2978
3.039646139,12150056,2975
3.037202346,12149940,2974
3.037202346,12149796,2971
3.034758554,12149652,2970
3.032314761,12149480,2968
3.032314761,12149316,2966
3.027427175,12149184,2963
3.027427175,12148932,2960
3.027427175,12148816,2958
3.022539589,12148592,2956
3.022539589,12148360,2954
3.022539589,12148252,2953
3.017652004,12148108,2951
3.017652004,12147844,2950
3.017652004,12147700,2948
3.015208211,12147668,2946
3.012764418,12147312,2944
3.015208211,12147160,2942
3.010320626,12147092,2940
3.007876833,12146756,2937
3.007876833,12146592,2935
3.00543304,12146500,2933
3.000545455,12146228,2930
3.002989247,12146020,2929
3.000545455,12145960,2927
2.998101662,12145612,2926
2.998101662,12145372,2924
2.995657869,12145308,2923
2.998101662,12144916,2922
2.993214076,12144704,2920
2.993214076,12144608,2918
2.990770284,12144388,2916
2.988326491,12144184,2914
2.988326491,12144052,2911
2.988326491,12143948,2910
2.985882698,12143704,2908
2.983438905,12143508,2906
2.980995113,12143388,2904
2.97855132,12143092,2902
2.97855132,12142860,2900
2.976107527,12142748,2898
2.976107527,12142388,2895
2.973663734,12142184,2894
2.961885631,12142124,2891
2.959930596,12141712,2889
2.959930596,12141536,2887
2.956509287,12141492,2885
2.95528739,12141120,2883
2.953821114,12140960,2881
2.95186608,12140884,2878
2.94844477,12140652,2877
2.947956012,12140504,2874
2.946000978,12140348,2871
2.94526784,12140204,2869
2.94526784,12140048,2867
2.94184653,12139792,2866
2.939891496,12139636,2863
2.939158358,12139448,2862
2.936714565,12139168,2859
2.936470186,12139056,2857
2.932560118,12138812,2854
2.930605083,12138632,2854
2.928650049,12138588,2851
2.927428152,12138332,2849
2.925961877,12138216,2847
2.925961877,12138200,2846
2.923273705,12137964,2843
2.919363637,12137840,2840
2.919852395,12137788,2838
2.915942327,12137620,2836
2.915942327,12137504,2833
2.913987293,12137364,2831
2.913254155,12137140,2829
2.910565983,12137040,2827
2.90812219,12136804,2825
2.907389052,12136508,2822
2.906655914,12136428,2821
2.903234604,12136188,2818
2.90127957,12136036,2815
2.900546432,12135920,2813
2.898591398,12135772,2811
2.896636364,12135720,2809
2.89468133,12135568,2806
2.892726295,12135476,2805
2.893215054,12135468,2803
2.890038124,12135336,2801
2.888083089,12135256,2799
2.887349951,12135236,2798
2.888083089,12135044,2796
2.883928641,12134964,2794
2.882706745,12134912,2792
2.881973607,12134476,2790
2.879285435,12134424,2787
2.877330401,12134324,2786
2.874642229,12133892,2783
2.874642229,12133840,2782
2.870732161,12133692,2779
2.868777126,12133488,2776
2.868043988,12133380,2774
2.865355816,12133228,2772
2.863889541,12133124,2770
2.864622679,12133036,2767
2.86071261,12132960,2766
2.858024438,12132900,2763
2.858024438,12132816,2761
2.854847508,12132752,2759
2.854603129,12132688,2757
2.851426198,12132452,2754
2.851426198,12132376,2754
2.848738025,12132348,2751
2.846782991,12131960,2749
2.846049854,12131912,2746
2.845316716,12131848,2745
2.842628544,12131500,2742
2.84067351,12131392,2741
2.839940372,12131216,2739
2.839940372,12130916,2738
2.839451613,12130768,2738
2.836030303,12130576,2735
2.833342131,12130308,2732
2.832120235,12130224,2730
2.829920822,12130088,2727
2.827965787,12129828,2726
2.824788856,12129772,2722
2.824055719,12129580,2721
2.823322581,12129396,2719
2.824544477,12129340,2717
2.819412512,12129196,2714
2.815502444,12129156,2711
2.817213099,12129036,2709
2.81330303,12128940,2707
2.812569892,12128840,2706
2.8101261,12128580,2703
2.809392962,12128428,2701
2.808659824,12128240,2700
2.804749756,12127836,2698
2.80328348,12127696,2695
2.802550342,12127520,2693
2.800595308,12127060,2690
2.798640274,12126980,2689
2.797907136,12126804,2686
2.795218964,12126360,2684
2.792775171,12126328,2682
2.790820137,12126124,2679
2.78984262,12125916,2677
2.787887586,12125876,2675
2.785443793,12125756,2674
2.784710655,12125720,2671
2.783244379,12125576,2670
2.781778104,12125440,2667
2.780556208,12125364,2666
2.776646139,12125112,2663
2.776646139,12124944,2661
2.773957967,12124860,2658
2.772002933,12124512,2656
2.770047898,12124404,2654
2.767359727,12124328,2652
2.767848485,12123880,2650
2.764671554,12123832,2648
2.763938417,12123740,2645
2.761983383,12123384,2642
2.759295211,12123364,2641
2.75929521,12123288,2638
2.755140763,12123172,2636
2.753918866,12123076,2634
2.751963832,12122984,2632
