Voltage (V),Frequency (Hz),Time (uA),,
3.205824047,15988868,4137,,
3.20826784,15993404,4136,,
3.210711633,15986156,4135,,
3.20826784,15989036,4133,,
3.203380254,16002404,4132,,
3.203380254,15987668,4131,,
3.203380254,16004516,4129,,
3.203380254,16003460,4128,,
3.198492669,16000388,4128,,
3.200936462,15992540,4127,,
3.198492669,15999284,4126,,
3.196048876,16005332,4125,,
3.196048876,15992708,4123,,
3.196863474,15994740,4122,,
3.196048876,16000940,4121,,
3.193605083,15996308,4119,,
3.193605083,15999932,4118,,
3.193605083,15996236,4117,,
3.188717498,16005788,4117,,
3.190346693,15996164,4115,,
3.188717498,15996548,4114,,
3.190346693,16006500,4111,,
3.188717498,16014500,4110,,
3.191161291,16007468,4110,,
3.188717498,16012508,4108,,
3.186273705,15998900,4107,,
3.186273705,16012484,4106,,
3.188717498,16012556,4105,,
3.187088303,16010580,4104,,
3.186273705,16015724,4102,,
3.178942326,16013396,4101,,
3.182200717,16009204,4099,,
3.183829912,16018868,4098,,
3.176498534,16009460,4097,,
3.181386119,16005668,4096,,
3.174054741,16011716,4094,,
3.174054741,16006556,4093,,
3.174054741,16006340,4092,,
3.178942326,16020068,4090,,
3.176498534,16013180,4089,,
3.17079635,16009316,4087,,
3.169167155,16011044,4086,,
3.174054741,16012436,4085,,
3.174054741,16010204,4083,,
3.169167155,16010244,4082,,
3.16427957,16011668,4081,,
3.16427957,16017764,4080,,
3.16427957,16019084,4078,,
3.166723363,16013948,4078,,
3.166723363,16019804,4077,,
3.16427957,16018796,4075,,
3.169167155,16017884,4075,,
3.169167155,16017116,4074,,
3.166723363,16027148,4073,,
3.166723363,16030868,4071,,
3.159391984,16022492,4070,,
3.162650375,16017492,4069,,
3.159391984,16017284,4069,,
3.154504399,16029836,4066,,
3.156948192,16027652,4065,,
3.159391984,16025276,4065,,
3.159391984,16028804,4063,,
3.157762789,16033508,4061,,
3.152060606,16027844,4060,,
3.156948192,16026428,4060,,
3.154504399,16020932,4058,,
3.154504399,16029268,4057,,
3.149616813,16024052,4056,,
3.154504399,16021700,4056,,
3.152060606,16024052,4055,,
3.154504399,16023812,4055,,
3.152060606,16025948,4053,,
3.149616813,16026620,4053,,
3.147987618,16025188,4052,,
3.149616813,16025396,4050,,
3.144729228,16026836,4049,,
3.144729228,16034852,4048,,
3.147987618,16034900,4046,,
3.147173021,16039412,4045,,
3.149616813,16043876,4045,,
3.143100033,16042708,4044,,
3.144729228,16044068,4043,,
3.143100033,16041844,4042,,
3.144729228,16042364,4040,,
3.139841642,16043012,4040,,
3.142285435,16044524,4038,,
3.139841642,16041668,4037,,
3.138212447,16045396,4035,,
3.139841642,16043828,4034,,
3.139841642,16044628,4033,,
3.13739785,16046876,4032,,
3.134954057,16048820,4031,,
3.132510264,16048724,4030,,
3.134954057,16048580,4029,,
3.134954057,16046964,4029,,
3.134954057,16050644,4028,,
3.134954057,16051460,4026,,
3.134954057,16047836,4026,,
3.134954057,16049348,4024,,
3.130066471,16049060,4023,,
3.132510264,16051052,4022,,
3.131695666,16051236,4021,,
3.127622679,16053956,4019,,
3.130066471,16054532,4018,,
3.130066471,16052228,4017,,
3.122735093,16052180,4015,,
3.127622679,16055012,4014,,
3.125178886,16054820,4014,,
3.125178886,16055508,4012,,
3.122735093,16042172,4012,,
3.122735093,16046132,4011,,
3.122735093,16044740,4010,,
3.117847508,16045508,4008,,
3.1202913,16045196,4007,,
3.1202913,16045460,4006,,
3.11703291,16045012,4005,,
3.1202913,16046612,4003,,
3.117847508,16047572,4002,,
3.1202913,16049108,4001,,
3.110516129,16050524,4000,,
3.112145324,16050852,3999,,
3.112959922,16050428,3997,,
3.112959922,16055108,3996,,
3.115403715,16051172,3994,,
3.112959922,16053908,3993,,
3.108886934,16055076,3991,,
3.105628544,16056404,3990,,
3.108072337,16054796,3989,,
3.110516129,16056308,3988,,
3.105628544,16056812,3986,,
3.105628544,16056820,3986,,
3.100740958,16059620,3985,,
3.105628544,16059404,3984,,
3.102370153,16059572,3983,,
3.100740958,16066196,3982,,
3.100740958,16068332,3980,,
3.095853372,16070876,3979,,
3.095853372,16072820,3979,,
3.095853372,16074212,3977,,
3.097482567,16072468,3976,,
3.098297165,16075604,3975,,
3.090965787,16076516,3973,,
3.09340958,16064852,3972,,
3.09340958,16064540,3971,,
3.095853372,16065596,3970,,
3.09340958,16063316,3969,,
3.090965787,16066868,3967,,
3.090965787,16077068,3965,,
3.090965787,16065308,3965,,
3.090965787,16077476,3965,,
3.090965787,16074164,3963,,
3.090965787,16079372,3961,,
3.083634409,16076468,3959,,
3.081190616,16079588,3958,,
3.083634409,16079084,3957,,
3.083634409,16070876,3956,,
3.086078201,16073252,3954,,
3.081190616,16073084,3953,,
3.077932225,16072660,3952,,
3.081190616,16077428,3950,,
3.081190616,16079420,3949,,
3.07630303,16083668,3948,,
3.077932225,16078420,3946,,
3.078746823,16075220,3945,,
3.07630303,16074068,3944,,
3.073859238,16076612,3942,,
3.071415445,16076036,3941,,
3.073859238,16080500,3939,,
3.071415445,16077668,3938,,
3.071415445,16085076,3937,,
3.066527859,16088756,3936,,
3.068971652,16078220,3935,,
3.068157054,16080772,3933,,
3.068971652,16085540,3932,,
3.066527859,16088324,3931,,
3.064084067,16082132,3930,,
3.063269469,16082132,3929,,
3.066527859,16081604,3927,,
3.063269469,16089412,3926,,
3.061640274,16089476,3925,,
3.063269469,16085492,3923,,
3.064084067,16083908,3923,,
3.059196481,16087484,3921,,
3.061640274,16094468,3920,,
3.056752688,16087460,3919,,
3.059196481,16093364,3917,,
3.056752689,16092404,3916,,
3.056752688,16088732,3914,,
3.056752688,16086716,3913,,
3.055123493,16087492,3912,,
3.054308896,16090292,3910,,
3.051865103,16089188,3909,,
3.051865103,16093012,3907,,
3.046977517,16100564,3906,,
3.04942131,16095260,3906,,
3.051865103,16095380,3905,,
3.050235908,16094452,3904,,
3.04942131,16094204,3903,,
3.04942131,16094996,3902,,
3.046977517,16092020,3901,,
3.04942131,16100276,3900,,
3.046977517,16099964,3899,,
3.046977517,16094300,3898,,
3.046977517,16098236,3897,,
3.042089932,16105220,3896,,
3.043719127,16101636,3895,,
3.042089932,16104980,3894,,
3.042089932,16103972,3893,,
3.042089932,16100804,3893,,
3.042089932,16097732,3892,,
3.042089932,16099380,3890,,
3.042089932,16095884,3890,,
3.042089932,16100900,3889,,
3.042089932,16105652,3889,,
3.039646139,16101140,3889,,
3.042089932,16100588,3887,,
3.038831541,16101620,3886,,
3.039646139,16100468,3886,,
3.037202346,16102940,3885,,
3.034758554,16105004,3885,,
3.039646139,16105868,3883,,
3.034758554,16100996,3883,,
3.032314761,16105820,3881,,
3.037202346,16105940,3881,,
3.034758554,16106276,3879,,
3.034758554,16107500,3878,,
3.032314761,16111124,3878,,
3.029870968,16106804,3877,,
3.029870968,16104884,3875,,
3.032314761,16104020,3874,,
3.032314761,16105076,3873,,
3.02579798,16108484,3871,,
3.024983382,16105868,3870,,
3.027427175,16110116,3869,,
3.027427175,16107140,3869,,
3.022539589,16113476,3868,,
3.024983382,16108940,3866,,
3.024983382,16112684,3865,,
3.022539589,16111380,3864,,
3.024983382,16112804,3863,,
3.022539589,16117748,3863,,
3.027427175,16111892,3862,,
3.02253959,16110332,3862,,
3.022539589,16111292,3862,,
3.022539589,16110620,3862,,
3.022539589,16112876,3862,,
3.020095797,16110596,3862,,
3.022539589,16114652,3862,,
3.022539589,16112636,3862,,
3.022539589,16114964,3861,,
3.020095797,16117892,3859,,
3.020095797,16113332,3859,,
3.017652004,16114604,3857,,
3.017652004,16114076,3857,,
3.017652004,16114268,3854,,
3.017652004,16114388,3853,,
3.017652004,16118708,3852,,
3.015208211,16118564,3850,,
3.015208211,16118924,3849,,
3.012764419,16120748,3848,,
3.010320626,16119980,3847,,
3.012764418,16118948,3846,,
3.010320626,16120772,3844,,
3.007876833,16120652,3842,,
3.007876833,16124348,3841,,
3.00543304,16120844,3840,,
3.007876833,16120364,3839,,
3.00543304,16123340,3837,,
3.00543304,16121084,3836,,
3.00543304,16123412,3834,,
3.000545455,16122380,3833,,
3.000545455,16125260,3831,,
3.000545455,16124204,3830,,
2.998101662,16125788,3828,,
2.998101662,16126292,3827,,
2.998101662,16128932,3827,,
2.998101662,16125428,3825,,
2.998101662,16126532,3824,,
2.995657869,16125836,3823,,
2.993214076,16129340,3821,,
2.990770284,16129316,3820,,
2.995657869,16127876,3819,,
2.990770284,16129652,3817,,
2.990770284,16128908,3816,,
2.988326491,16130924,3814,,
2.988326491,16133036,3813,,
2.985882698,16130468,3812,,
2.985882698,16131932,3811,,
2.985882698,16134140,3810,,
2.985882698,16132196,3808,,
2.985882698,16134116,3807,,
2.980995113,16135820,3806,,
2.985882698,16135172,3804,,
2.983438905,16136156,3802,,
2.983438905,16136684,3801,,
2.980995113,16138316,3799,,
2.976107527,16135268,3798,,
2.973663734,16135892,3796,,
2.976107527,16137620,3794,,
2.976107527,16138796,3793,,
2.973663734,16137884,3791,,
2.973663734,16140116,3790,,
2.967163734,16139924,3789,,
2.963107527,16140044,3788,,
2.964719942,16138604,3786,,
2.959930596,16142132,3785,,
2.959930596,16139924,3783,,
2.959686217,16141580,3781,,
2.956998045,16143764,3779,,
2.956020528,16144412,3778,,
2.956509287,16144676,3777,,
2.955776149,16143908,3775,,
2.954554252,16144244,3774,,
2.952599218,16144748,3773,,
2.955043011,16144556,3771,,
2.951866081,16144700,3770,,
2.950644184,16148108,3769,,
2.951132943,16146044,3767,,
2.94868915,16145372,3767,,
2.94868915,16146548,3766,,
2.949911046,16148108,3765,,
2.94868915,16147148,3763,,
2.947956012,16148996,3762,,
2.947711633,16149860,3761,,
2.942579668,16151252,3759,,
2.944045944,16151900,3758,,
2.943801564,16152332,3756,,
2.942579668,16150076,3755,,
2.940624633,16153508,3753,,
2.9386696,16152860,3752,,
2.939158358,16150436,3750,,
2.940380255,16153628,3748,,
2.937936462,16153364,3747,,
2.935981427,16153988,3745,,
2.937203324,16153580,3745,,
2.934026393,16152380,3743,,
2.933293255,16154612,3742,,
2.931093842,16155380,3741,,
2.933048876,16155428,3740,,
2.929871945,16157564,3739,,
2.929871945,16155452,3737,,
2.928650049,16155596,3736,,
2.92840567,16156844,3734,,
2.927183774,16155692,3733,,
2.927183774,16156292,3731,,
2.925961877,16156988,3731,,
2.924006843,16158860,3729,,
2.924006843,16159124,3727,,
2.921318671,16158788,3726,,
2.922540567,16158716,3725,,
2.92180743,16158980,3724,,
2.92180743,16162532,3723,,
2.921074292,16163300,3721,,
2.923029326,16162700,3720,,
2.919119257,16161908,3719,,
2.917897361,16163540,3717,,
2.917164223,16161068,3716,,
2.914476051,16161500,3715,,
2.916431085,16163156,3713,,
2.915697947,16164812,3712,,
2.913742913,16165484,3710,,
2.912521017,16162628,3709,,
2.910565983,16164188,3708,,
2.909832845,16166204,3706,,
2.911054741,16166012,3705,,
2.908610949,16164548,3703,,
2.907877811,16165652,3702,,
2.907144673,16166684,3701,,
2.905189638,16168412,3700,,
2.907144673,16167764,3698,,
2.906411535,16167500,3697,,
2.905189638,16169612,3696,,
2.903234604,16168892,3695,,
2.9044565,16166660,3694,,
2.900546432,16168412,3692,,
2.901768329,16168460,3691,,
2.901768329,16171364,3689,,
2.901035191,16168820,3688,,
2.89785826,16170548,3686,,
2.898347019,16172564,3686,,
2.89785826,16173716,3685,,
2.898347019,16172588,3683,,
2.895170088,16172900,3682,,
2.893948192,16173284,3681,,
2.893703812,16172876,3680,,
2.893703812,16173980,3678,,
2.89126002,16172996,3677,,
2.89101564,16172540,3676,,
2.891015641,16175852,3674,,
2.889793744,16174868,3673,,
2.889793744,16174388,3672,,
2.887349951,16171388,3671,,
2.887105572,16174772,3670,,
2.887594331,16177220,3669,,
2.885150538,16177580,3667,,
2.883928641,16176020,3666,,
